thermal_conductivity,gram,price,name,link
17.0,5.0,37.99,"Pasta Térmica Rise Mode Silver Cold, 17w, 5g, Cinza - RM-TG-17-CLD",https://www.kabum.com.br/produto/506056/pasta-termica-rise-mode-silver-cold-17w-5g-cinza-rm-tg-17-cld
12.5,4.0,59.99,"Pasta Térmica PCYES Nitrogen Max, 12.5W, 4g, Cinza - PCYNM04125",https://www.kabum.com.br/produto/447703/pasta-termica-pcyes-nitrogen-max-12-5w-4g-cinza-pcynm04125
5.5,1.5,21.96,"Pasta Termica Pcyes, Nitrogen Basic 1,5g, 5.5w/mk - Pcynb1555",https://www.kabum.com.br/produto/428927/pasta-termica-pcyes-nitrogen-basic-1-5g-5-5w-mk-pcynb1555
8.5,1.5,18.97,"Pasta Termica Pcyes Nitrogen Pro, 1.5g - 8.5w/mk - Pcynp1585",https://www.kabum.com.br/produto/433761/pasta-termica-pcyes-nitrogen-pro-1-5g-8-5w-mk-pcynp1585
10.5,4.0,44.47,"Pasta Térmica Implastec Ts Cold, Condutividade Térmica 10,5 W/mK, 4g, Cinza",https://www.kabum.com.br/produto/461746/pasta-termica-implastec-ts-cold-condutividade-termica-10-5-w-mk-4g-cinza
12.8,3.0,78.99,"Pasta Térmica Husky Snowdog, Condutividade Térmica 12.8 W /mK 3g, Cinza",https://www.kabum.com.br/produto/429960/pasta-termica-husky-snowdog-condutividade-termica-12-8-w-mk-3g-cinza
5.5,1.5,11.99,"Pasta Térmica PCYES Nitrogen Basic, 5.5W, 1.5g, Cinza - PCYNB1555",https://www.kabum.com.br/produto/447677/pasta-termica-pcyes-nitrogen-basic-5-5w-1-5g-cinza-pcynb1555
14.3,5.0,32.37,"Pasta Térmica Ryvel Arctic, Condutividade Térmica 14,3 W / mK 5g, Cinza - RY-PT-A14-WT",https://www.kabum.com.br/produto/638233/pasta-termica-ryvel-arctic-condutividade-termica-14-3-w-mk-5g-cinza-ry-pt-a14-wt
12.8,1.0,49.99,Pasta Térmica Snowdog Husky 1g 12.8w/mk Alta Performance + Adesivo,https://www.kabum.com.br/produto/643755/pasta-termica-snowdog-husky-1g-12-8w-mk-alta-performance-adesivo
14.0,2.0,118.85,"Pasta Térmica Cooler Master Cryofuze, 2G - 14W/MK - MGZ-NDSG-N07M-R2",https://www.kabum.com.br/produto/375076/pasta-termica-cooler-master-cryofuze-2g-14w-mk-mgz-ndsg-n07m-r2
5.0,10.0,9.95,"Pasta Termica Dmix Thermal Silver 10g Ps06, Prata 3,05w Mk",https://www.kabum.com.br/produto/502603/pasta-termica-dmix-thermal-silver-10g-ps06-prata-3-05w-mk
8.5,4.0,30.99,"Pasta Térmica PCYES Nitrogen Pro, 8.5W, 4g, Cinza - PCYNP0485",https://www.kabum.com.br/produto/447701/pasta-termica-pcyes-nitrogen-pro-8-5w-4g-cinza-pcynp0485
5.5,4.0,18.99,"Pasta Térmica PCYES Nitrogen Basic, 5.5W, 4g, Cinza - PCYNB0455",https://www.kabum.com.br/produto/447678/pasta-termica-pcyes-nitrogen-basic-5-5w-4g-cinza-pcynb0455
10.5,1.0,32.87,"Pasta Térmica, Alta Performance Implastec Ts Cold 10,5w/m.k 1g",https://www.kabum.com.br/produto/541262/pasta-termica-alta-performance-implastec-ts-cold-10-5w-m-k-1g
8.5,7.8,107.91,"Pasta Térmica Thermal Grizzly Aeronaut Top Performance, Alta Condutividade Térmica 8,5 W/mk, 7.8g, Cinza - Tg-a-030-r",https://www.kabum.com.br/produto/484139/pasta-termica-thermal-grizzly-aeronaut-top-performance-alta-condutividade-termica-8-5-w-mk-7-8g-cinza-tg-a-030-r
12.0,1.0,49.99,"Pasta Térmica Thermal Hero Neo, 12W/m-k, 1g, Prata - TH-201201",https://www.kabum.com.br/produto/640764/pasta-termica-thermal-hero-neo-12w-m-k-1g-prata-th-201201
13.0,2.0,79.99,"Pasta Térmica Thermal Hero Ultra, 13W/m-k, 2g, Prata - TH-301302",https://www.kabum.com.br/produto/640768/pasta-termica-thermal-hero-ultra-13w-m-k-2g-prata-th-301302
15.9,1.0,62.9,"Ts Extreme 1g - Pasta Termica High End - 15,9 W/m.k",https://www.kabum.com.br/produto/632219/ts-extreme-1g-pasta-termica-high-end-15-9-w-m-k
14.0,1.5,116.0,"Pasta Termica Pcyes Pcyne1514 Nitrogen Extreme 1.5g, 14w/mk",https://www.kabum.com.br/produto/428928/pasta-termica-pcyes-pcyne1514-nitrogen-extreme-1-5g-14w-mk
10.5,1.5,29.9,"Pasta Térmica Fortrek 1,5gr Freezy Pro, 10,5w/mk",https://www.kabum.com.br/produto/702082/pasta-termica-fortrek-1-5gr-freezy-pro-10-5w-mk
7.5,6.0,29.9,Pasta Térmica 6g 7.5 W/k Thermal Cold K-force,https://www.kabum.com.br/produto/609915/pasta-termica-6g-7-5-w-k-thermal-cold-k-force
14.0,2.9,50.15,Pasta Térmica Thermalright Tf8 Ex - Seringa 2.9g - 14 W/mk,https://www.kabum.com.br/produto/643339/pasta-termica-thermalright-tf8-ex-seringa-2-9g-14-w-mk
8.5,1.0,39.88,"Pasta Térmica Thermal Grizzly Aeronaut, Condutividade térmica 8,5W /mk, 1g - Tg-a-001-rs",https://www.kabum.com.br/produto/519056/pasta-termica-thermal-grizzly-aeronaut-condutividade-termica-8-5w-mk-1g-tg-a-001-rs
14.5,1.5,69.99,"Pasta Térmica PCYES Nitrogen Extreme, 14.5W, 1,5g, Cinza - PCYNE1514",https://www.kabum.com.br/produto/447705/pasta-termica-pcyes-nitrogen-extreme-14-5w-1-5g-cinza-pcyne1514
12.8,3.0,78.99,Pasta Térmica Snowdog Husky 3 G 12.8w/mk Alta Performance + Adesivo,https://www.kabum.com.br/produto/643753/pasta-termica-snowdog-husky-3-g-12-8w-mk-alta-performance-adesivo
12.5,50.0,176.0,"Pasta Térmica Pcyes Nitrogen Max 50g, 12.5w/mk - Pcynm50125",https://www.kabum.com.br/produto/441668/pasta-termica-pcyes-nitrogen-max-50g-12-5w-mk-pcynm50125
